Date,收盘,开盘,高,低,交易量,涨跌幅
2008年1月,137.37,146.53,146.99,126,6.11B,-6.05%
2008年2月,133.82,137.94,139.61,131.73,4.15B,-2.58%
2008年3月,131.97,133.14,135.81,126.07,5.47B,-1.38%
2008年4月,138.26,133.71,140.59,132.33,4.01B,4.77%
2008年5月,140.35,138.39,144.3,137.52,3.65B,1.51%
2008年6月,127.98,139.83,140.89,127.03,5.41B,-8.81%
2008年7月,126.83,126.52,129.16,120.02,7.16B,-0.90%
2008年8月,128.79,127.12,131.51,124.76,4.34B,1.55%
2008年9月,115.99,130.03,130.71,110.53,8.11B,-9.94%
2008年10月,96.83,115.27,116.69,83.58,11.89B,-16.52%
2008年11月,90.09,96.78,100.86,74.34,8.77B,-6.96%
2008年12月,90.24,87.51,92.43,81.86,6.93B,0.17%
2009年1月,82.83,90.44,94.55,80.05,6.88B,-8.21%
2009年2月,73.93,81.57,87.74,73.81,7.28B,-10.74%
2009年3月,79.52,72.52,83.3,67.1,8.81B,7.56%
2009年4月,87.42,78.53,89.02,78.33,6.21B,9.93%
2009年5月,92.53,87.44,93.7,86.72,5.20B,5.85%
2009年6月,91.95,93.67,96.11,87.53,5.05B,-0.63%
2009年7月,98.81,92.34,99.83,87,4.30B,7.46%
2009年8月,102.46,99.85,104.35,98.11,3.96B,3.69%
2009年9月,105.59,101.95,108.06,99.57,3.78B,3.05%
2009年10月,103.56,105.34,110.31,101.99,4.48B,-1.92%
2009年11月,109.94,104.13,111.74,103.08,3.43B,6.16%
2009年12月,111.44,110.92,113.03,105.48,2.88B,1.36%
2010年1月,107.39,112.37,115.14,107.22,3.71B,-3.63%
2010年2月,110.74,108.15,111.58,104.58,4.45B,3.12%
2010年3月,117,111.2,118.17,111.17,3.90B,5.65%
2010年4月,118.81,117.8,122.12,117.1,4.01B,1.55%
2010年5月,109.37,119.38,120.68,104.38,7.41B,-7.95%
2010年6月,103.22,108.35,113.2,102.88,5.71B,-5.62%
2010年7月,110.27,103.15,112.29,101.13,4.72B,6.83%
2010年8月,105.31,111.99,113.18,104.29,4.54B,-4.50%
2010年9月,114.13,106.73,115.79,106.66,4.05B,8.38%
2010年10月,118.49,114.99,119.76,113.18,3.77B,3.82%
2010年11月,118.49,119.07,122.95,117.59,3.98B,0.00%
2010年12月,125.75,120.2,126.2,120.19,2.72B,6.13%
2011年1月,128.68,126.71,130.35,125.7,2.86B,2.33%
2011年2月,133.15,129.46,134.69,129.38,2.82B,3.47%
2011年3月,132.59,133.57,133.69,125.28,4.79B,-0.42%
2011年4月,136.43,133.41,136.57,129.51,2.82B,2.90%
2011年5月,134.9,137.07,137.18,131.38,3.34B,-1.12%
2011年6月,131.97,134.51,134.92,126.19,4.71B,-2.17%
2011年7月,129.33,132.09,135.7,127.97,3.84B,-2.00%
2011年8月,122.22,130.84,130.96,110.27,9.05B,-5.50%
2011年9月,113.15,122.29,123.4,111.3,6.19B,-7.42%
2011年10月,125.5,112.49,129.42,107.43,5.67B,10.91%
2011年11月,124.99,122.03,128.02,116.2,5.01B,-0.41%
2011年12月,125.5,124.85,127.26,120.03,3.85B,0.41%
2012年1月,131.32,127.76,133.4,126.43,2.88B,4.64%
2012年2月,137.02,132.29,138.19,132.13,2.90B,4.34%
2012年3月,140.81,137.31,141.83,134.36,3.06B,2.77%
2012年4月,139.87,140.64,142.21,135.76,3.03B,-0.67%
2012年5月,131.47,139.79,141.66,129.55,4.00B,-6.01%
2012年6月,136.1,129.41,136.27,127.14,3.64B,3.52%
2012年7月,137.71,136.48,139.34,132.6,2.86B,1.18%
2012年8月,141.16,138.7,143.09,135.58,2.41B,2.51%
2012年9月,143.97,141.04,148.11,140.13,2.39B,1.99%
2012年10月,141.35,144.52,147.16,140.39,2.72B,-1.82%
2012年11月,142.16,141.65,143.72,134.7,3.03B,0.57%
2012年12月,142.41,142.8,145.58,139.54,2.89B,0.18%
2013年1月,149.7,145.11,150.94,144.73,2.59B,5.12%
2013年2月,151.61,150.65,153.28,148.73,2.58B,1.28%
2013年3月,156.67,151.09,156.85,150.41,2.33B,3.34%
2013年4月,159.68,156.59,159.72,153.55,2.91B,1.92%
2013年5月,163.44,159.33,169.07,158.1,2.78B,2.35%
2013年6月,160.42,163.83,165.99,155.73,3.53B,-1.85%
2013年7月,168.71,161.26,169.86,160.22,2.33B,5.17%
2013年8月,163.65,169.99,170.97,163.05,2.28B,-3.00%
2013年9月,168.01,165.23,173.6,163.7,2.25B,2.66%
2013年10月,175.79,168.14,177.51,164.53,2.90B,4.63%
2013年11月,181,176.02,181.75,174.76,1.93B,2.96%
2013年12月,184.69,181.09,184.69,177.32,2.23B,2.04%
2014年1月,178.18,183.98,184.94,176.88,2.53B,-3.52%
2014年2月,186.29,177.97,187.15,173.71,2.39B,4.55%
2014年3月,187.01,184.65,189.02,183.75,2.55B,0.39%
2014年4月,188.31,187.62,189.7,181.31,2.35B,0.70%
2014年5月,192.68,188.22,192.8,186.01,1.78B,2.32%
2014年6月,195.72,192.95,196.6,191.97,1.68B,1.58%
2014年7月,193.09,196.2,199.06,192.97,1.89B,-1.34%
2014年8月,200.71,192.56,200.82,190.55,1.83B,3.95%
2014年9月,197.02,200.97,201.9,196.05,2.11B,-1.84%
2014年10月,201.66,196.7,201.82,181.92,3.94B,2.36%
2014年11月,207.2,201.92,207.87,200.06,1.57B,2.75%
2014年12月,205.54,206.4,212.97,197.86,3.05B,-0.80%
2015年1月,199.45,206.38,206.88,198.55,3.18B,-2.96%
2015年2月,210.66,200.05,212.24,197.86,1.90B,5.62%
2015年3月,206.43,210.78,212.06,204.12,2.75B,-2.01%
2015年4月,208.46,206.39,212.48,204.51,2.04B,0.98%
2015年5月,211.14,209.4,213.78,206.76,1.89B,1.29%
2015年6月,205.85,211.94,213.34,205.28,2.54B,-2.51%
2015年7月,210.5,207.73,213.18,204.11,2.45B,2.26%
2015年8月,197.67,210.46,211.31,182.4,3.73B,-6.10%
2015年9月,191.63,193.12,202.89,186.93,3.28B,-3.06%
2015年10月,207.93,192.08,209.44,189.12,2.54B,8.51%
2015年11月,208.69,208.32,211.66,202.18,1.92B,0.37%
2015年12月,203.87,209.44,211,199.83,2.92B,-2.31%
2016年1月,193.72,200.49,201.9,181.02,3.71B,-4.98%
2016年2月,193.56,192.53,196.68,181.09,2.92B,-0.08%
2016年3月,205.52,195.01,206.87,194.45,2.32B,6.18%
2016年4月,206.33,204.35,210.92,203.09,1.91B,0.39%
2016年5月,209.84,206.92,210.69,202.78,1.83B,1.70%
2016年6月,209.47,209.12,212.52,198.65,2.63B,-0.18%
2016年7月,217.12,209.36,217.54,207.06,1.65B,3.65%
2016年8月,217.38,217.19,219.6,214.25,1.52B,0.12%
2016年9月,216.3,217.37,219.22,212.31,2.30B,-0.50%
2016年10月,212.55,215.82,216.7,211.21,1.73B,-1.73%
2016年11月,220.38,212.93,221.82,208.38,2.07B,3.68%
2016年12月,223.53,220.73,228.34,219.15,1.82B,1.43%
2017年1月,227.53,225.04,229.71,223.88,1.48B,1.79%
2017年2月,236.47,228.25,237.31,226.82,1.37B,3.93%
2017年3月,235.74,238.39,240.32,231.61,1.92B,-0.31%
2017年4月,238.08,235.8,239.53,232.51,1.55B,0.99%
2017年5月,241.44,238.68,242.08,235.43,1.49B,1.41%
2017年6月,241.8,241.97,245.01,239.96,1.57B,0.15%
2017年7月,246.77,242.88,248,240.34,1.06B,2.06%
2017年8月,247.49,247.46,248.91,241.83,1.56B,0.29%
2017年9月,251.23,247.92,251.32,244.95,1.29B,1.51%
2017年10月,257.15,251.49,257.89,251.29,1.32B,2.36%
2017年11月,265.01,258.04,266.05,255.63,1.37B,3.06%
2017年12月,266.86,264.76,268.6,260.76,1.72B,0.70%
2018年1月,281.9,267.84,286.63,267.4,2.00B,5.64%
2018年2月,271.65,281.07,283.06,252.92,2.92B,-3.64%
2018年3月,263.15,271.41,280.41,257.83,2.34B,-3.13%
2018年4月,264.51,262.55,271.3,254.67,2.00B,0.52%
2018年5月,270.94,263.87,274.25,259.05,1.61B,2.43%
2018年6月,271.28,272.41,279.48,268.49,1.60B,0.13%
2018年7月,281.33,269.51,284.37,269.24,1.27B,3.70%
2018年8月,290.31,281.56,291.74,279.16,1.31B,3.19%
2018年9月,290.72,289.84,293.94,286.71,1.23B,0.14%
2018年10月,270.63,292.11,293.21,259.85,3.02B,-6.91%
2018年11月,275.65,271.6,281.22,263.07,2.02B,1.85%
2018年12月,249.92,280.28,280.4,233.76,3.10B,-9.33%
2019年1月,269.93,245.98,270.47,243.67,2.05B,8.01%
2019年2月,278.68,270.15,281.31,267.83,1.37B,3.24%
2019年3月,282.48,280.44,285.18,272.42,1.68B,1.36%
2019年4月,294.02,284.7,294.45,284.4,1.21B,4.09%
2019年5月,275.27,294.72,294.95,275.24,1.85B,-6.38%
2019年6月,293,275.31,296.31,273.09,1.34B,6.44%
2019年7月,297.43,296.68,302.23,294.33,1.14B,1.51%
2019年8月,292.45,297.6,300.87,281.72,2.04B,-1.67%
2019年9月,296.77,290.57,302.63,289.27,1.33B,1.48%
2019年10月,303.33,297.74,304.55,284.82,1.41B,2.21%
2019年11月,314.31,304.92,315.48,304.74,1.04B,3.62%
2019年12月,321.86,314.59,323.8,307.13,1.29B,2.40%
2020年1月,321.73,323.54,332.95,320.36,1.40B,-0.04%
2020年2月,296.26,323.35,339.08,285.54,2.11B,-7.92%
2020年3月,243.15,298.21,313.72,218.3,230.26M,-17.93%
